year ,month ,day,Date,US Institutional Index Value,US Individual Index Value
2020,10,1,2020-10-1,67.14,71.22
2020,9,1,2020-9-1,69.86,70.07
2020,8,1,2020-8-1,72.86,73.05
2020,7,1,2020-7-1,80.95,73.61
2020,6,1,2020-6-1,79.59,75.89
2020,5,1,2020-5-1,81.9,74.05
2020,4,1,2020-4-1,80.99,75
2020,3,1,2020-3-1,81.42,70.94
2020,2,1,2020-2-1,79.34,65
2020,1,1,2020-1-1,72.17,64.35
2019,12,1,2019-12-1,72.22,62.16
2019,11,1,2019-11-1,70.09,63.96
2019,10,1,2019-10-1,66.33,59.79
2019,9,1,2019-9-1,68,63.72
2019,8,1,2019-8-1,69.52,70.08
2019,7,1,2019-7-1,72,68.22
2019,6,1,2019-6-1,75.59,72.62
2019,5,1,2019-5-1,73.44,69.35
2019,4,1,2019-4-1,75.61,68.37
2019,3,1,2019-3-1,74.63,67.34
2019,2,1,2019-2-1,75,65.27
2019,1,1,2019-1-1,74.8,68.15
2018,12,1,2018-12-1,70.1,64.23
2018,11,1,2018-11-1,77,66.96
2018,10,1,2018-10-1,79.25,71.03
2018,9,1,2018-9-1,75.61,72.73
2018,8,1,2018-8-1,72.73,69.18
2018,7,1,2018-7-1,72.31,63.43
2018,6,1,2018-6-1,72.67,68.09
2018,5,1,2018-5-1,68.42,66.67
2018,4,1,2018-4-1,63.23,64.1
2018,3,1,2018-3-1,62.81,63.19
2018,2,1,2018-2-1,65.52,66
2018,1,1,2018-1-1,65.89,71.13
2017,12,1,2017-12-1,65.14,61.27
2017,11,1,2017-11-1,69.92,60.61
2017,10,1,2017-10-1,71.32,64.12
2017,9,1,2017-9-1,74.17,63.76
2017,8,1,2017-8-1,72.85,59.75
2017,7,1,2017-7-1,74.4,60.12
2017,6,1,2017-6-1,77.37,62.5
2017,5,1,2017-5-1,76.16,61.31
2017,4,1,2017-4-1,79.61,60.69
2017,3,1,2017-3-1,76.97,61.54
2017,2,1,2017-2-1,75.33,64.43
2017,1,1,2017-1-1,74.02,62.79
2016,12,1,2016-12-1,68.13,64.71
2016,11,1,2016-11-1,70.71,65.49
2016,10,1,2016-10-1,70.37,66.67
2016,9,1,2016-9-1,69.16,66.45
2016,8,1,2016-8-1,74.55,67.3
2016,7,1,2016-7-1,76.42,69.4
2016,6,1,2016-6-1,75,68.22
2016,5,1,2016-5-1,75.16,71.18
2016,4,1,2016-4-1,74.32,69.75
2016,3,1,2016-3-1,76.47,69.12
2016,2,1,2016-2-1,74.82,67.86
2016,1,1,2016-1-1,73.81,67.15
2015,12,1,2015-12-1,73.21,70.69
2015,11,1,2015-11-1,71.54,72.03
2015,10,1,2015-10-1,73.65,74.23
2015,9,1,2015-9-1,72.3,76.05
2015,8,1,2015-8-1,72.29,75.29
