Year,Quarter,US.Institutional.Index.Value,US.Individual.Index.Value
2020,Q4,67.14,71.22
2020,Q3,74.55666667,72.24333333
2020,Q2,80.82666667,74.98
2020,Q1,77.64333333,66.76333333
2019,Q4,69.54666667,61.97
2019,Q3,69.84,67.34
2019,Q2,74.88,70.11333333
2019,Q1,74.81,66.92
2018,Q4,75.45,67.40666667
2018,Q3,73.55,68.44666667
2018,Q2,68.10666667,66.28666667
2018,Q1,64.74,66.77333333
2017,Q4,68.79333333,62
2017,Q3,73.80666667,61.21
2017,Q2,77.71333333,61.5
2017,Q1,75.44,62.92
2016,Q4,69.73666667,65.62333333
2016,Q3,73.37666667,67.71666667
2016,Q2,74.82666667,69.71666667
2016,Q1,75.03333333,68.04333333
2015,Q4,72.8,72.31666667
2015,Q3,72.19666667,76.27
2015,Q2,71.68333333,74.40333333
2015,Q1,70.83666667,70.73333333
2014,Q4,72.80666667,64.5
2014,Q3,83.34333333,68.88
2014,Q2,88.92666667,73.87
2014,Q1,78.03333333,70.56333333
2013,Q4,77.25333333,73.40666667
2013,Q3,78.99333333,74.84666667
2013,Q2,76.31,70.65666667
2013,Q1,75.11,70.85333333
2012,Q4,76.88666667,76.75333333
2012,Q3,82.15333333,79.36333333
2012,Q2,82.51,79.08333333
2012,Q1,79.62,77.26666667
2011,Q4,76.94333333,74.98333333
2011,Q3,79.78333333,75.38666667
2011,Q2,82.08333333,77.50333333
2011,Q1,80.16,79.51666667
2010,Q4,75.61,76.99666667
2010,Q3,74.70666667,76.52
2010,Q2,77.17,77.75333333
2010,Q1,76.48333333,77.76666667
2009,Q4,76.03333333,78.90666667
2009,Q3,76.99333333,76.28333333
2009,Q2,80.27,73.7
2009,Q1,81.54333333,74.95333333
2008,Q4,81.16666667,73.99333333
2008,Q3,80.15666667,74.63666667
2008,Q2,81.24666667,71.59666667
2008,Q1,79.88666667,72.32666667
2007,Q4,78.13333333,78.02
2007,Q3,78.18333333,78.34333333
2007,Q2,78.77666667,80.05
2007,Q1,76.69666667,85.89666667
2006,Q4,74.65,84.8
2006,Q3,81.00666667,82.79
2006,Q2,91.16,84.92
2006,Q1,83.42,83.59666667
2005,Q4,74.69,81.74
2005,Q3,75.05666667,82.18666667
2005,Q2,79.39,85.34666667
2005,Q1,80.96,87.78
2004,Q4,73.53,87.66666667
2004,Q3,72.78333333,84.85666667
2004,Q2,78.71,85.73666667
2004,Q1,88.68333333,92.76333333
2003,Q4,91.69666667,93.81666667
2003,Q3,88.25,90.84
2003,Q2,86.97333333,90.42666667
2003,Q1,84.45333333,90.31666667
2002,Q4,80.24333333,86.82666667
2002,Q3,82.13333333,85.67333333
2002,Q2,82.46333333,88.83333333
2002,Q1,80.20666667,89.38666667
2001,Q4,75.75666667,90.63666667
2001,Q3,77.64,89.85666667
