"Date","EA","NTDOY","SCPL","TTWO","ATVI"
"2020-03-02",106.889999,43.23,9.45,112.059998,60.59
"2020-03-03",106.699997,42.540001,9.155,111.220001,58.75
"2020-03-04",111.830002,43.790001,9.48,119.419998,62.549999
"2020-03-05",110.209999,43.759998,9.15,117.269997,61.52
"2020-03-06",107.669998,43.880001,9.15,117.690002,59.970001
"2020-03-09",100.93,42.400002,8.61,113.879997,57.349998
"2020-03-10",103.379997,43.490002,8.87,118.75,60.709999
"2020-03-11",101.18,41.529999,9.35,119.050003,59.330002
"2020-03-12",93.349998,38.919998,7.81,108.360001,54.560001
"2020-03-13",97.059998,39.700001,7.715,116.620003,59.040001
"2020-03-16",88.669998,37.959999,7.34,108.010002,52.759998
"2020-03-17",95.410004,41.02,6.8,116.470001,56.16
"2020-03-18",90.209999,40.709999,6.34,106.620003,55.59
"2020-03-19",90.059998,43.849998,7.64,106.360001,54.130001
"2020-03-20",86.940002,43.509998,8.47,100.150002,52.049999
"2020-03-23",95.470001,42.98,8.17,109.82,56.470001
"2020-03-24",94.300003,44.639999,8.49,112.220001,54.43
"2020-03-25",89.639999,43.810001,8.57,109.720001,52.869999
"2020-03-26",99.199997,45.860001,9.09,115.25,57.720001
"2020-03-27",95.370003,45.689999,8.48,111.699997,56.959999
"2020-03-30",97.690002,48.139999,9.16,118.510002,58.470001
"2020-03-31",100.169998,48.279999,9.525,118.610001,59.48
"2020-04-01",97.529999,48.450001,9.11,116.330002,57.5
"2020-04-02",102.290001,48.5,9.24,119.510002,60.779999
"2020-04-03",102.830002,48.040001,9.4,118.489998,59.98
"2020-04-06",106.510002,50.09,8.96,121.290001,61.599998
"2020-04-07",106.32,50.080002,8.81,120.059998,59.869999
"2020-04-08",106.800003,50.52,8.89,119.099998,61.07
"2020-04-09",105.800003,50.490002,8.5,119.400002,60.459999
"2020-04-13",109.300003,51.799999,8.72,120,62.75
"2020-04-14",112.029999,53.02,8.98,122.779999,63.279999
"2020-04-15",113.510002,54.09,8.65,123.5,65.709999
"2020-04-16",118.099998,55.099998,9,126.82,68.050003
"2020-04-17",115.150002,53.630001,10.45,124.440002,66.879997
"2020-04-20",115.410004,52.900002,10.49,125.349998,66.5
"2020-04-21",113.269997,55.119999,10.395,125.730003,65.720001
"2020-04-22",114.57,54.849998,10.44,127.440002,66.980003
"2020-04-23",114.459999,54.18,10.47,124.550003,65.879997
"2020-04-24",116.309998,54.830002,10.805,127.879997,66.650002
"2020-04-27",116.019997,54.650002,10.83,125.93,67.059998
"2020-04-28",111.349998,53.810001,10.63,120.510002,63.860001
"2020-04-29",112.779999,54.25,10.91,121.18,64.790001
"2020-04-30",114.260002,51.439999,10.55,121.050003,63.73
"2020-05-01",113.269997,52.360001,10.86,122.650002,64.720001
"2020-05-04",116.830002,52.27,11.54,124.910004,66.699997
"2020-05-05",119.610001,52.77,11.89,125.279999,68.529999
"2020-05-06",115.32,53.150002,11.42,127.730003,72.870003
"2020-05-07",116.800003,54.349998,11.88,128.779999,73.099998
"2020-05-08",116.620003,51.799999,11.9,129.850006,73.139999
"2020-05-11",117.370003,51.189999,12.21,132.589996,75.459999
"2020-05-12",116.370003,51.82,12.57,131.619995,72.25
"2020-05-13",116.900002,52.099998,12.12,131.380005,73.669998
"2020-05-14",117.120003,52.27,12.5,131.529999,72.959999
"2020-05-15",118.129997,52.389999,13.6,132.539993,73.919998
"2020-05-18",117.120003,52.610001,13.22,135.529999,72.879997
"2020-05-19",118.540001,51.099998,13.44,142.240005,73.029999
"2020-05-20",119.550003,51.650002,13.7,146.839996,73.779999
"2020-05-21",117.360001,51.98,13.35,138.190002,72.470001
"2020-05-22",119.82,52.130001,13.87,140.509995,73.080002
"2020-05-26",116.639999,51.349998,13.15,130.199997,70
"2020-05-27",117.379997,51.27,13.03,134.520004,70.150002
"2020-05-28",121.349998,51.200001,13.27,134.070007,70.220001
"2020-05-29",122.879997,50.84,14.02,136.169998,71.980003
"2020-06-01",122.779999,51.810001,14.57,136.220001,72.989998
"2020-06-02",122.360001,50.650002,14.23,134.600006,72.980003
"2020-06-03",117.93,51.450001,14.12,129.300003,69.919998
"2020-06-04",117.18,52.09,13.97,127.589996,69.809998
"2020-06-05",118.32,52.720001,14.5,128.910004,69.43
"2020-06-08",119.510002,51.720001,15.02,134.800003,70.730003
"2020-06-09",121.07,52.349998,14.91,134.410004,72
"2020-06-10",124.809998,52.740002,14,137.309998,73.82
"2020-06-11",122.419998,53.849998,13.4,134.919998,71.279999
"2020-06-12",121.970001,55.400002,13.35,134,71.68
"2020-06-15",126.519997,54.990002,13.93,137.149994,73.190002
"2020-06-16",125.730003,55.700001,13.9,135.669998,73
"2020-06-17",128.110001,57.43,14.46,138.919998,75.529999
"2020-06-18",129.350006,58.540001,14.32,141.25,76.010002
"2020-06-19",130.190002,58.59,13.96,142.610001,76.580002
"2020-06-22",129.720001,58.5,14.25,141.139999,76.120003
