"Date","Index","Close","Close_scale"
"2020-01-02","MSFT",160.619995,100
"2020-01-03","MSFT",158.619995,98.75
"2020-01-06","MSFT",159.029999,99.01
"2020-01-07","MSFT",157.580002,98.11
"2020-01-08","MSFT",160.089996,99.67
"2020-01-09","MSFT",162.089996,100.92
"2020-01-10","MSFT",161.339996,100.45
"2020-01-13","MSFT",163.279999,101.66
"2020-01-14","MSFT",162.130005,100.94
"2020-01-15","MSFT",163.179993,101.59
"2020-01-16","MSFT",166.169998,103.46
"2020-01-17","MSFT",167.100006,104.03
"2020-01-21","MSFT",166.5,103.66
"2020-01-22","MSFT",165.699997,103.16
"2020-01-23","MSFT",166.720001,103.8
"2020-01-24","MSFT",165.039993,102.75
"2020-01-27","MSFT",162.279999,101.03
"2020-01-28","MSFT",165.460007,103.01
"2020-01-29","MSFT",168.039993,104.62
"2020-01-30","MSFT",172.779999,107.57
"2020-01-31","MSFT",170.229996,105.98
"2020-02-03","MSFT",174.380005,108.57
"2020-02-04","MSFT",180.119995,112.14
"2020-02-05","MSFT",179.899994,112
"2020-02-06","MSFT",183.630005,114.33
"2020-02-07","MSFT",183.889999,114.49
"2020-02-10","MSFT",188.699997,117.48
"2020-02-11","MSFT",184.440002,114.83
"2020-02-12","MSFT",184.710007,115
"2020-02-13","MSFT",183.710007,114.38
"2020-02-14","MSFT",185.350006,115.4
"2020-02-18","MSFT",187.229996,116.57
"2020-02-19","MSFT",187.279999,116.6
"2020-02-20","MSFT",184.419998,114.82
"2020-02-21","MSFT",178.589996,111.19
"2020-02-24","MSFT",170.889999,106.39
"2020-02-25","MSFT",168.070007,104.64
"2020-02-26","MSFT",170.169998,105.95
"2020-02-27","MSFT",158.179993,98.48
"2020-02-28","MSFT",162.009995,100.87
"2020-03-02","MSFT",172.789993,107.58
"2020-03-03","MSFT",164.509995,102.42
"2020-03-04","MSFT",170.550003,106.18
"2020-03-05","MSFT",166.270004,103.52
"2020-03-06","MSFT",161.570007,100.59
"2020-03-09","MSFT",150.619995,93.77
"2020-03-10","MSFT",160.919998,100.19
"2020-03-11","MSFT",153.630005,95.65
"2020-03-12","MSFT",139.059998,86.58
"2020-03-13","MSFT",158.830002,98.89
"2020-03-16","MSFT",135.419998,84.31
"2020-03-17","MSFT",146.570007,91.25
"2020-03-18","MSFT",140.399994,87.41
"2020-03-19","MSFT",142.710007,88.85
"2020-03-20","MSFT",137.350006,85.51
"2020-03-23","MSFT",135.979996,84.66
"2020-03-24","MSFT",148.339996,92.35
"2020-03-25","MSFT",146.919998,91.47
"2020-03-26","MSFT",156.110001,97.19
"2020-03-27","MSFT",149.699997,93.2
"2020-03-30","MSFT",160.229996,99.76
"2020-03-31","MSFT",157.710007,98.19
