"Date","Index","Close","Close_scale"
2020-01-02,"AMZN",1898.01001,100
2020-01-03,"AMZN",1874.969971,98.79
2020-01-06,"AMZN",1902.880005,100.26
2020-01-07,"AMZN",1906.859985,100.47
2020-01-08,"AMZN",1891.969971,99.68
2020-01-09,"AMZN",1901.050049,100.16
2020-01-10,"AMZN",1883.160034,99.22
2020-01-13,"AMZN",1891.300049,99.65
2020-01-14,"AMZN",1869.439941,98.49
2020-01-15,"AMZN",1862.02002,98.1
2020-01-16,"AMZN",1877.939941,98.94
2020-01-17,"AMZN",1864.719971,98.25
2020-01-21,"AMZN",1892,99.68
2020-01-22,"AMZN",1887.459961,99.44
2020-01-23,"AMZN",1884.579956,99.29
2020-01-24,"AMZN",1861.640015,98.08
2020-01-27,"AMZN",1828.339966,96.33
2020-01-28,"AMZN",1853.25,97.64
2020-01-29,"AMZN",1858,97.89
2020-01-30,"AMZN",1870.680054,98.56
2020-01-31,"AMZN",2008.719971,105.83
2020-02-03,"AMZN",2004.199951,105.59
2020-02-04,"AMZN",2049.669922,107.99
2020-02-05,"AMZN",2039.869995,107.47
2020-02-06,"AMZN",2050.22998,108.02
2020-02-07,"AMZN",2079.280029,109.55
2020-02-10,"AMZN",2133.909912,112.43
2020-02-11,"AMZN",2150.800049,113.32
2020-02-12,"AMZN",2160,113.8
2020-02-13,"AMZN",2149.870117,113.27
2020-02-14,"AMZN",2134.870117,112.48
2020-02-18,"AMZN",2155.669922,113.58
2020-02-19,"AMZN",2170.219971,114.34
2020-02-20,"AMZN",2153.100098,113.44
2020-02-21,"AMZN",2095.969971,110.43
2020-02-24,"AMZN",2009.290039,105.86
2020-02-25,"AMZN",1972.73999,103.94
2020-02-26,"AMZN",1979.589966,104.3
2020-02-27,"AMZN",1884.300049,99.28
2020-02-28,"AMZN",1883.75,99.25
2020-03-02,"AMZN",1953.949951,102.95
2020-03-03,"AMZN",1908.98999,100.58
2020-03-04,"AMZN",1975.829956,104.1
2020-03-05,"AMZN",1924.030029,101.37
2020-03-06,"AMZN",1901.089966,100.16
2020-03-09,"AMZN",1800.609985,94.87
2020-03-10,"AMZN",1891.819946,99.67
2020-03-11,"AMZN",1820.859985,95.94
2020-03-12,"AMZN",1676.609985,88.34
2020-03-13,"AMZN",1785,94.05
2020-03-16,"AMZN",1689.150024,89
2020-03-17,"AMZN",1807.839966,95.25
2020-03-18,"AMZN",1830,96.42
2020-03-19,"AMZN",1880.930054,99.1
2020-03-20,"AMZN",1846.089966,97.26
2020-03-23,"AMZN",1902.829956,100.25
2020-03-24,"AMZN",1940.099976,102.22
2020-03-25,"AMZN",1885.839966,99.36
2020-03-26,"AMZN",1955.48999,103.03
2020-03-27,"AMZN",1900.099976,100.11
2020-03-30,"AMZN",1963.949951,103.47
2020-03-31,"AMZN",1949.719971,102.72
2020-04-01,"AMZN",1907.699951,100.51
2020-04-02,"AMZN",1918.829956,101.1
2020-04-03,"AMZN",1906.589966,100.45
2020-04-06,"AMZN",1997.589966,105.25
2020-04-07,"AMZN",2011.599976,105.98
2020-04-08,"AMZN",2043,107.64
2020-04-09,"AMZN",2042.76001,107.63
2020-04-13,"AMZN",2168.870117,114.27
2020-04-14,"AMZN",2283.320068,120.3
2020-04-15,"AMZN",2307.679932,121.58
2020-04-16,"AMZN",2408.189941,126.88
2020-04-17,"AMZN",2375,125.13
2020-04-20,"AMZN",2393.610107,126.11
2020-04-21,"AMZN",2328.120117,122.66
2020-04-22,"AMZN",2363.48999,124.52
2020-04-23,"AMZN",2399.449951,126.42
2020-04-24,"AMZN",2410.219971,126.99
2020-04-27,"AMZN",2376,125.18
2020-04-28,"AMZN",2314.080078,121.92
2020-04-29,"AMZN",2372.709961,125.01
2020-04-30,"AMZN",2474,130.35
2020-05-01,"AMZN",2286.040039,120.44
2020-05-04,"AMZN",2315.98999,122.02
2020-05-05,"AMZN",2317.800049,122.12
2020-05-06,"AMZN",2351.26001,123.88
2020-05-07,"AMZN",2367.610107,124.74
2020-05-08,"AMZN",2379.610107,125.37
2020-05-11,"AMZN",2409,126.92
2020-05-12,"AMZN",2356.949951,124.18
2020-05-13,"AMZN",2367.919922,124.76
2020-05-14,"AMZN",2388.850098,125.86
2020-05-15,"AMZN",2409.780029,126.96
2020-05-18,"AMZN",2426.26001,127.83
2020-05-19,"AMZN",2449.330078,129.05
2020-05-20,"AMZN",2497.939941,131.61
2020-05-21,"AMZN",2446.73999,128.91
2020-05-22,"AMZN",2436.879883,128.39
2020-05-26,"AMZN",2421.860107,127.6
2020-05-27,"AMZN",2410.389893,127
2020-05-28,"AMZN",2401.100098,126.51
2020-05-29,"AMZN",2442.370117,128.68
2020-06-01,"AMZN",2471.040039,130.19
2020-06-02,"AMZN",2472.409912,130.26
2020-06-03,"AMZN",2478.399902,130.58
2020-06-04,"AMZN",2460.600098,129.64
2020-06-05,"AMZN",2483,130.82
2020-06-08,"AMZN",2524.060059,132.98
2020-06-09,"AMZN",2600.860107,137.03
2020-06-10,"AMZN",2647.449951,139.49
2020-06-11,"AMZN",2557.959961,134.77
2020-06-12,"AMZN",2545.02002,134.09
2020-06-15,"AMZN",2572.679932,135.55
2020-06-16,"AMZN",2615.27002,137.79
2020-06-17,"AMZN",2640.97998,139.14
2020-06-18,"AMZN",2653.97998,139.83
2020-06-19,"AMZN",2675.01001,140.94
2020-06-22,"AMZN",2713.820068,142.98
2020-06-23,"AMZN",2764.409912,145.65
2020-06-24,"AMZN",2734.399902,144.07
2020-06-25,"AMZN",2754.580078,145.13
2020-06-26,"AMZN",2692.870117,141.88
2020-06-29,"AMZN",2680.379883,141.22
2020-06-30,"AMZN",2758.820068,145.35
2020-07-01,"AMZN",2878.699951,151.67
2020-07-02,"AMZN",2890.300049,152.28
2020-07-06,"AMZN",3057.040039,161.07
2020-07-07,"AMZN",3000.120117,158.07
2020-07-08,"AMZN",3081.110107,162.33
2020-07-09,"AMZN",3182.629883,167.68
2020-07-10,"AMZN",3200,168.6
2020-07-13,"AMZN",3104,163.54
2020-07-14,"AMZN",3084,162.49
2020-07-15,"AMZN",3008.870117,158.53
2020-07-16,"AMZN",2999.899902,158.06
2020-07-17,"AMZN",2961.969971,156.06
2020-07-20,"AMZN",3196.840088,168.43
2020-07-21,"AMZN",3138.290039,165.35
2020-07-22,"AMZN",3099.909912,163.32
2020-07-23,"AMZN",2986.550049,157.35
2020-07-24,"AMZN",3008.909912,158.53
2020-07-27,"AMZN",3055.209961,160.97
2020-07-28,"AMZN",3000.330078,158.08
2020-07-29,"AMZN",3033.530029,159.83
2020-07-30,"AMZN",3051.879883,160.79
2020-07-31,"AMZN",3164.679932,166.74
2020-08-03,"AMZN",3111.889893,163.96
2020-08-04,"AMZN",3138.830078,165.37
2020-08-05,"AMZN",3205.030029,168.86
2020-08-06,"AMZN",3225,169.91
2020-08-07,"AMZN",3167.459961,166.88
2020-08-10,"AMZN",3148.159912,165.87
2020-08-11,"AMZN",3080.669922,162.31
2020-08-12,"AMZN",3162.23999,166.61
2020-08-13,"AMZN",3161.02002,166.54
2020-08-14,"AMZN",3148.02002,165.86
2020-08-17,"AMZN",3182.409912,167.67
2020-08-18,"AMZN",3312.48999,174.52
2020-08-19,"AMZN",3260.47998,171.78
2020-08-20,"AMZN",3297.370117,173.73
2020-08-21,"AMZN",3284.719971,173.06
2020-08-24,"AMZN",3307.459961,174.26
2020-08-25,"AMZN",3346.48999,176.32
2020-08-26,"AMZN",3441.850098,181.34
2020-08-27,"AMZN",3400,179.13
2020-08-28,"AMZN",3401.800049,179.23
2020-08-31,"AMZN",3450.959961,181.82
2020-09-01,"AMZN",3499.120117,184.36
2020-09-02,"AMZN",3531.449951,186.06
2020-09-03,"AMZN",3368,177.45
2020-09-04,"AMZN",3294.620117,173.58
2020-09-08,"AMZN",3149.840088,165.95
2020-09-09,"AMZN",3268.610107,172.21
2020-09-10,"AMZN",3175.110107,167.29
2020-09-11,"AMZN",3116.219971,164.18
2020-09-14,"AMZN",3102.969971,163.49
2020-09-15,"AMZN",3156.129883,166.29
2020-09-16,"AMZN",3078.100098,162.18
2020-09-17,"AMZN",3008.72998,158.52
2020-09-18,"AMZN",2954.909912,155.68
2020-09-21,"AMZN",2960.469971,155.98
2020-09-22,"AMZN",3128.98999,164.86
2020-09-23,"AMZN",2999.860107,158.05
2020-09-24,"AMZN",3019.790039,159.1
2020-09-25,"AMZN",3095.129883,163.07
2020-09-28,"AMZN",3174.050049,167.23
2020-09-29,"AMZN",3144.879883,165.69
2020-09-30,"AMZN",3148.72998,165.9
2020-10-01,"AMZN",3221.26001,169.72
2020-10-02,"AMZN",3125,164.65
2020-10-05,"AMZN",3199.199951,168.56
2020-10-06,"AMZN",3099.959961,163.33
2020-10-07,"AMZN",3195.689941,168.37
2020-10-08,"AMZN",3190.550049,168.1
2020-10-09,"AMZN",3286.649902,173.16
2020-10-12,"AMZN",3442.929932,181.4
2020-10-13,"AMZN",3443.629883,181.43
2020-10-14,"AMZN",3363.709961,177.22
2020-10-15,"AMZN",3338.649902,175.9
2020-10-16,"AMZN",3272.709961,172.43
2020-10-19,"AMZN",3207.209961,168.98
2020-10-20,"AMZN",3217.01001,169.49
