"Date","Index","Close","Close_scale"
2020-01-02,"NFLX",329.809998,100
2020-01-03,"NFLX",325.899994,98.81
2020-01-06,"NFLX",335.829987,101.83
2020-01-07,"NFLX",330.75,100.29
2020-01-08,"NFLX",339.26001,102.87
2020-01-09,"NFLX",335.660004,101.77
2020-01-10,"NFLX",329.049988,99.77
2020-01-13,"NFLX",338.920013,102.76
2020-01-14,"NFLX",338.690002,102.69
2020-01-15,"NFLX",339.070007,102.81
2020-01-16,"NFLX",338.619995,102.67
2020-01-17,"NFLX",339.670013,102.99
2020-01-21,"NFLX",338.109985,102.52
2020-01-22,"NFLX",326,98.84
2020-01-23,"NFLX",349.600006,106
2020-01-24,"NFLX",353.160004,107.08
2020-01-27,"NFLX",342.880005,103.96
2020-01-28,"NFLX",348.519989,105.67
2020-01-29,"NFLX",343.160004,104.05
2020-01-30,"NFLX",347.73999,105.44
2020-01-31,"NFLX",345.089996,104.63
2020-02-03,"NFLX",358,108.55
2020-02-04,"NFLX",369.01001,111.89
2020-02-05,"NFLX",369.670013,112.09
2020-02-06,"NFLX",366.950012,111.26
2020-02-07,"NFLX",366.769989,111.21
2020-02-10,"NFLX",371.070007,112.51
2020-02-11,"NFLX",373.690002,113.3
2020-02-12,"NFLX",380.01001,115.22
2020-02-13,"NFLX",381.399994,115.64
2020-02-14,"NFLX",380.399994,115.34
2020-02-18,"NFLX",387.779999,117.58
2020-02-19,"NFLX",386.190002,117.09
2020-02-20,"NFLX",386,117.04
2020-02-21,"NFLX",380.070007,115.24
2020-02-24,"NFLX",368.700012,111.79
2020-02-25,"NFLX",360.089996,109.18
2020-02-26,"NFLX",379.23999,114.99
2020-02-27,"NFLX",371.709991,112.7
2020-02-28,"NFLX",369.029999,111.89
2020-03-02,"NFLX",381.049988,115.54
2020-03-03,"NFLX",368.769989,111.81
2020-03-04,"NFLX",383.790009,116.37
2020-03-05,"NFLX",372.779999,113.03
2020-03-06,"NFLX",368.970001,111.87
2020-03-09,"NFLX",346.48999,105.06
2020-03-10,"NFLX",364.130005,110.41
2020-03-11,"NFLX",349.920013,106.1
2020-03-12,"NFLX",315.25,95.59
2020-03-13,"NFLX",336.299988,101.97
2020-03-16,"NFLX",298.839996,90.61
2020-03-17,"NFLX",319.75,96.95
2020-03-18,"NFLX",315.470001,95.65
2020-03-19,"NFLX",332.029999,100.67
2020-03-20,"NFLX",332.829987,100.92
2020-03-23,"NFLX",360.269989,109.24
2020-03-24,"NFLX",357.320007,108.34
2020-03-25,"NFLX",342.390015,103.81
2020-03-26,"NFLX",362.98999,110.06
2020-03-27,"NFLX",357.119995,108.28
2020-03-30,"NFLX",370.959991,112.48
2020-03-31,"NFLX",375.5,113.85
2020-04-01,"NFLX",364.079987,110.39
2020-04-02,"NFLX",370.079987,112.21
2020-04-03,"NFLX",361.76001,109.69
2020-04-06,"NFLX",379.959991,115.21
2020-04-07,"NFLX",372.279999,112.88
2020-04-08,"NFLX",371.119995,112.53
2020-04-09,"NFLX",370.720001,112.4
