"Date","ZM","CSCO","EGHT","RNG","LOGM"
"2020-03-02",113.110001,41.169998,18.6,239.889999,85.059998
"2020-03-03",117.470001,40.040001,17.379999,225.899994,84.730003
"2020-03-04",116.800003,41.389999,18.15,232.839996,85.150002
"2020-03-05",125,39.57,17.440001,225.520004,84.790001
"2020-03-06",114.32,39.68,16.959999,216.639999,84.220001
"2020-03-09",113.75,37.959999,16.74,209.479996,82.010002
"2020-03-10",108.489998,40.080002,17.200001,213.869995,84.379997
"2020-03-11",110.300003,37.049999,14.17,199.339996,83.349998
"2020-03-12",109.470001,33.200001,11.05,179.809998,80.5
"2020-03-13",107.470001,37.639999,13.58,174.600006,81.230003
"2020-03-16",107.860001,33.709999,11.76,138.960007,71.519997
"2020-03-17",111.099998,35.5,12.63,163.25,78.5
"2020-03-18",118.709999,37.119999,12.61,164.619995,78.150002
"2020-03-19",123.769997,37.709999,15.54,184.229996,79.349998
"2020-03-20",130.550003,35.599998,14.17,183.860001,79.940002
"2020-03-23",159.559998,34.599998,13.77,191.589996,78.760002
"2020-03-24",135.179993,38.599998,17.559999,205.080002,80.910004
"2020-03-25",138.110001,37.669998,18.040001,190.360001,80.75
"2020-03-26",141.149994,40.580002,16.6,217.800003,82.339996
"2020-03-27",151.699997,38.82,17.530001,238.970001,83.589996
"2020-03-30",150.880005,40.32,15.34,228.029999,84.550003
"2020-03-31",146.119995,39.310001,13.86,211.910004,83.279999
"2020-04-01",137,38.330002,12.87,210.669998,82.900002
"2020-04-02",121.93,39.799999,12.83,220.029999,83.459999
"2020-04-03",128.199997,39.060001,14.06,223.759995,82.970001
"2020-04-06",122.940002,41.43,16.120001,223.100006,83.639999
"2020-04-07",113.75,40.639999,15.88,194.990005,83.93
"2020-04-08",117.809998,41.740002,15.9,217.520004,84.169998
"2020-04-09",124.510002,41.200001,16.16,205.139999,84.699997
"2020-04-13",135.919998,41.220001,16.5,210.979996,84.459999
"2020-04-14",141.889999,42.779999,17.620001,222.029999,84.830002
"2020-04-15",151.559998,41.52,17.190001,231.440002,84.760002
"2020-04-16",150.259995,41.5,17.049999,232.970001,85
"2020-04-17",150.059998,42.48,17.700001,236.509995,84.989998
"2020-04-20",148.990005,42.540001,17.940001,253.110001,84.519997
"2020-04-21",143.270004,40.549999,17.049999,234.580002,84.519997
"2020-04-22",150.25,41.759998,17.219999,244.160004,84.629997
"2020-04-23",169.089996,41.619999,16.57,238.910004,84.730003
"2020-04-24",158.800003,42.52,17.02,238.729996,84.809998
"2020-04-27",164.600006,43.060001,16.74,233.449997,85.010002
"2020-04-28",156.720001,42.490002,17.32,223.389999,84.889999
"2020-04-29",146.479996,43.34,17.73,225.279999,85.050003
"2020-04-30",135.169998,42.380001,16.959999,228.529999,85.459999
"2020-05-01",138.559998,40.919998,15.89,218.100006,85.349998
"2020-05-04",143.440002,41.349998,16.110001,233.990005,85.309998
"2020-05-05",144.820007,41.459999,16.299999,234.169998,85.209999
"2020-05-06",149.589996,41.150002,17.889999,245.039993,85.260002
"2020-05-07",157.800003,41.369999,18.889999,259.700012,85.349998
"2020-05-08",155.399994,42.990002,18.969999,266.730011,85.190002
"2020-05-11",166.479996,43.32,19.870001,275.029999,85.32
"2020-05-12",161.039993,43.220001,20.42,278.799988,85.110001
"2020-05-13",167.139999,41.950001,15.03,283,85.160004
"2020-05-14",167.910004,43.849998,14.28,271.549988,85.099998
"2020-05-15",174.830002,44.27,15.33,285.850006,85.32
"2020-05-18",164.690002,45.060001,16.17,263.059998,84.910004
"2020-05-19",173.679993,44.610001,14.8,263.179993,84.989998
"2020-05-20",175.479996,45.439999,14.35,264.359985,85.059998
"2020-05-21",172.029999,44.639999,15.13,260.549988,84.910004
"2020-05-22",171.059998,44.900002,15.84,261.529999,84.07
"2020-05-26",164,44.84,15.71,251.100006,84.230003
"2020-05-27",161.970001,45.959999,15.49,251.970001,84.769997
"2020-05-28",163.550003,45.599998,14.94,259.51001,84.709999
"2020-05-29",179.479996,47.82,14.54,274.25,84.900002
"2020-06-01",204.149994,46.299999,14.95,279.359985,84.800003
"2020-06-02",208.080002,46.889999,14.29,273.959991,85
"2020-06-03",223.869995,46.939999,14.95,270.929993,85.059998
"2020-06-04",210.350006,46.860001,14.73,254.059998,85.080002
"2020-06-05",207.600006,47.830002,14.74,252.880005,85.279999
"2020-06-08",209.830002,48.130001,15.34,261.190002,85.360001
